Timer precision: 41 ns
unnesting_execution            fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ automatic                                 │               │               │               │         │
│  ├─ anti_or_nulls            418.9 µs      │ 559.1 µs      │ 426.7 µs      │ 442 µs        │ 10      │ 10
│  │                             565.2 KB    │ 565.2 KB      │ 565.2 KB      │ 565.2 KB      │         │
│  ├─ scalar_first_ordered     48.22 ms      │ 52.01 ms      │ 49.34 ms      │ 49.39 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             21          │ 21            │ 21            │ 21            │         │
│  │                             34.99 KB    │ 34.99 KB      │ 34.99 KB      │ 34.99 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             3436        │ 3436          │ 3436          │ 3436          │         │
│  │                             3.039 MB    │ 3.039 MB      │ 3.039 MB      │ 3.039 MB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             3436        │ 3436          │ 3436          │ 3436          │         │
│  │                             3.202 MB    │ 3.202 MB      │ 3.202 MB      │ 3.202 MB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             621         │ 621           │ 621           │ 621           │         │
│  │                             162.6 KB    │ 162.6 KB      │ 162.6 KB      │ 162.6 KB      │         │
│  ├─ scalar_sum_equality      32.76 ms      │ 34.39 ms      │ 33.98 ms      │ 33.84 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ╰─ scalar_sum_inequality    36.19 ms      │ 37.68 ms      │ 36.95 ms      │ 36.94 ms      │ 10      │ 10
│                              max alloc:    │               │               │               │         │
│                                1           │ 1             │ 1             │ 1             │         │
│                                1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│                              alloc:        │               │               │               │         │
│                                255         │ 255           │ 255           │ 255           │         │
│                                375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│                              dealloc:      │               │               │               │         │
│                                255         │ 255           │ 255           │ 255           │         │
│                                375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
╰─ forced                                    │               │               │               │         │
   ├─ anti_or_nulls            381.3 µs      │ 478.8 µs      │ 408.3 µs      │ 412.3 µs      │ 10      │ 10
   ├─ derived_limit            6.165 ms      │ 6.595 ms      │ 6.295 ms      │ 6.307 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             57          │ 57            │ 57            │ 57            │         │
   │                             35.06 KB    │ 35.06 KB      │ 35.13 KB      │ 35.1 KB       │         │
   │                           alloc:        │               │               │               │         │
   │                             346         │ 346           │ 346.5         │ 346.2         │         │
   │                             79.73 KB    │ 79.73 KB      │ 79.86 KB      │ 79.81 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             341         │ 341           │ 341.5         │ 341.2         │         │
   │                             76.44 KB    │ 76.44 KB      │ 76.51 KB      │ 76.48 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             16          │ 16            │ 16            │ 16            │         │
   │                             1.151 KB    │ 1.151 KB      │ 1.151 KB      │ 1.151 KB      │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_distinct_16       6.217 ms      │ 7.967 ms      │ 6.31 ms       │ 6.585 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.77 KB      │ 13.77 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 301           │ 300.5         │ 300.2         │         │
   │                             38.66 KB    │ 38.93 KB      │ 38.93 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 296           │ 295.5         │ 295.2         │         │
   │                             34.28 KB    │ 34.42 KB      │ 34.42 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_distinct_256      5.495 ms      │ 6.336 ms      │ 5.95 ms       │ 5.916 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300           │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295           │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_high_selectivity  6.175 ms      │ 6.628 ms      │ 6.325 ms      │ 6.373 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.7 KB       │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300.5         │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.79 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295.5         │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.35 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_indexed           5.655 ms      │ 6.201 ms      │ 5.788 ms      │ 5.83 ms       │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300           │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295           │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_low_selectivity   5.167 ms      │ 5.594 ms      │ 5.382 ms      │ 5.394 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300           │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295           │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_nulls             5.421 ms      │ 5.793 ms      │ 5.735 ms      │ 5.712 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.77 KB    │ 13.9 KB       │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             301         │ 301           │ 300           │ 300.2         │         │
   │                             38.93 KB    │ 39.19 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             296         │ 296           │ 295           │ 295.2         │         │
   │                             34.42 KB    │ 34.56 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_outer_16          5.226 ms      │ 5.302 ms      │ 5.268 ms      │ 5.262 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300           │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295           │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_outer_256         5.59 ms       │ 6.014 ms      │ 5.773 ms      │ 5.783 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.9 KB       │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 301           │ 300           │ 300.2         │         │
   │                             38.66 KB    │ 39.19 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 296           │ 295           │ 295.2         │         │
   │                             34.28 KB    │ 34.56 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_outer_1024        7.405 ms      │ 8.282 ms      │ 7.676 ms      │ 7.735 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300           │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295           │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_skewed            6.367 ms      │ 6.716 ms      │ 6.419 ms      │ 6.446 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.77 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300.5         │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.93 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295.5         │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.42 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ inequality               5.754 ms      │ 6.171 ms      │ 6.106 ms      │ 6.079 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             32          │ 32            │ 32            │ 32            │         │
   │                             12.54 KB    │ 12.4 KB       │ 12.54 KB      │ 12.44 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 299           │ 299.5         │ 299.2         │         │
   │                             37.7 KB     │ 37.43 KB      │ 37.69 KB      │ 37.51 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 294           │ 294.5         │ 294.2         │         │
   │                             33.19 KB    │ 33.05 KB      │ 33.19 KB      │ 33.09 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ inequality_indexed       5.696 ms      │ 6.241 ms      │ 5.902 ms      │ 5.932 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             32          │ 32            │ 32            │ 32            │         │
   │                             12.54 KB    │ 12.4 KB       │ 12.4 KB       │ 12.44 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 299           │ 299           │ 299.2         │         │
   │                             37.7 KB     │ 37.43 KB      │ 37.43 KB      │ 37.51 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 294           │ 294           │ 294.2         │         │
   │                             33.19 KB    │ 33.05 KB      │ 33.05 KB      │ 33.09 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ nested_depth_2           28.58 ms      │ 32.79 ms      │ 28.86 ms      │ 29.44 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             298         │ 298           │ 298           │ 298           │         │
   │                             438.6 KB    │ 438.6 KB      │ 438.6 KB      │ 438.6 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             298         │ 298           │ 298           │ 298           │         │
   │                             438.6 KB    │ 438.6 KB      │ 438.6 KB      │ 438.6 KB      │         │
   ├─ nested_depth_4           28.49 ms      │ 29.31 ms      │ 29.11 ms      │ 29.06 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             384         │ 384           │ 384           │ 384           │         │
   │                             565.2 KB    │ 565.2 KB      │ 565.2 KB      │ 565.2 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             384         │ 384           │ 384           │ 384           │         │
   │                             565.2 KB    │ 565.2 KB      │ 565.2 KB      │ 565.2 KB      │         │
   ├─ scalar_first_ordered     48.16 ms      │ 50.51 ms      │ 48.99 ms      │ 49.23 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             21          │ 21            │ 21            │ 21            │         │
   │                             34.99 KB    │ 34.99 KB      │ 34.99 KB      │ 34.99 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             3436        │ 3436          │ 3436          │ 3436          │         │
   │                             3.039 MB    │ 3.039 MB      │ 3.039 MB      │ 3.039 MB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             3436        │ 3436          │ 3436          │ 3436          │         │
   │                             3.202 MB    │ 3.202 MB      │ 3.202 MB      │ 3.202 MB      │         │
   │                           grow:         │               │               │               │         │
   │                             621         │ 621           │ 621           │ 621           │         │
   │                             162.6 KB    │ 162.6 KB      │ 162.6 KB      │ 162.6 KB      │         │
   ├─ scalar_sum_equality      33.38 ms      │ 34.76 ms      │ 34.01 ms      │ 33.97 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             255         │ 255           │ 255           │ 255           │         │
   │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             255         │ 255           │ 255           │ 255           │         │
   │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
   ╰─ scalar_sum_inequality    36.92 ms      │ 39.06 ms      │ 37.4 ms       │ 37.55 ms      │ 10      │ 10
                               max alloc:    │               │               │               │         │
                                 1           │ 1             │ 1             │ 1             │         │
                                 1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
                               alloc:        │               │               │               │         │
                                 255         │ 255           │ 255           │ 255           │         │
                                 375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
                               dealloc:      │               │               │               │         │
                                 255         │ 255           │ 255           │ 255           │         │
                                 375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │

